Naam;x;y
Groningen;2018;9300
Groningen;2020;9700
Groningen;2025;11000
Groningen;2030;13000
Groningen;2035;15000
Groningen;2040;17000
Groningen;2050;19000
Friesland;2018;11000
Friesland;2020;12000
Friesland;2025;14000
Friesland;2030;16000
Friesland;2035;19000
Friesland;2040;21000
Friesland;2050;24000
Drenthe;2018;9200
Drenthe;2020;9700
Drenthe;2025;11000
Drenthe;2030;13000
Drenthe;2035;15000
Drenthe;2040;17000
Drenthe;2050;20000
Overijssel;2018;18000
Overijssel;2020;19000
Overijssel;2025;22000
Overijssel;2030;26000
Overijssel;2035;29000
Overijssel;2040;33000
Overijssel;2050;39000
Flevoland;2018;3900
Flevoland;2020;4100
Flevoland;2025;5200
Flevoland;2030;6800
Flevoland;2035;8700
Flevoland;2040;11000
Flevoland;2050;14000
Gelderland;2018;33000
Gelderland;2020;35000
Gelderland;2025;41000
Gelderland;2030;49000
Gelderland;2035;57000
Gelderland;2040;65000
Gelderland;2050;77000
Utrecht;2018;18000
Utrecht;2020;19000
Utrecht;2025;22000
Utrecht;2030;26000
Utrecht;2035;32000
Utrecht;2040;36000
Utrecht;2050;46000
Noord-Holland;2018;41000
Noord-Holland;2020;43000
Noord-Holland;2025;50000
Noord-Holland;2030;61000
Noord-Holland;2035;72000
Noord-Holland;2040;82000
Noord-Holland;2050;100000
Zuid-Holland;2018;56000
Zuid-Holland;2020;58000
Zuid-Holland;2025;67000
Zuid-Holland;2030;79000
Zuid-Holland;2035;94000
Zuid-Holland;2040;110000
Zuid-Holland;2050;130000
Zeeland;2018;7700
Zeeland;2020;8100
Zeeland;2025;9200
Zeeland;2030;11000
Zeeland;2035;12000
Zeeland;2040;13000
Zeeland;2050;15000
Noord-Brabant;2018;41000
Noord-Brabant;2020;43000
Noord-Brabant;2025;51000
Noord-Brabant;2030;60000
Noord-Brabant;2035;69000
Noord-Brabant;2040;78000
Noord-Brabant;2050;93000
Limburg;2018;21000
Limburg;2020;23000
Limburg;2025;26000
Limburg;2030;30000
Limburg;2035;34000
Limburg;2040;38000
Limburg;2050;43000
Nederland;2018;270000
Nederland;2020;280000
Nederland;2025;330000
Nederland;2030;390000
Nederland;2035;460000
Nederland;2040;520000
Nederland;2050;620000
